Strain	Date
hCoV-19/Cameroon/Yaounde-ECO20/2021|EPI_ISL_1190757|2021-02-03	2021-02-03
hCoV-19/Spain/CT-HUGTiPR006BX5C3/2021|EPI_ISL_1208511|2021-02-17	2021-02-17
hCoV-19/Slovenia/52360/2021|EPI_ISL_1250732|2021-01-28	2021-01-28
hCoV-19/Ireland/C-NVRL-21IRL45350/2021|EPI_ISL_1252902|2021-02-24	2021-02-24
hCoV-19/Finland/HEL-11-69/2021|EPI_ISL_1279137|2021-01-15	2021-01-15
hCoV-19/Germany/SN-RKI-I-038689/2021|EPI_ISL_1285050|2021-03-08	2021-03-08
hCoV-19/USA/DC-DFS-PHL-0257/2021|EPI_ISL_1295637|2021-01-12	2021-01-12
hCoV-19/England/CAMC-13D301F/2021|EPI_ISL_1327390|2021-03-11	2021-03-11
hCoV-19/England/CAMC-13230A7/2021|EPI_ISL_1333645|2021-02-22	2021-02-22
hCoV-19/Germany/NW-RKI-I-047094/2021|EPI_ISL_1354519|2021-03-08	2021-03-08
hCoV-19/Slovenia/111138/2021|EPI_ISL_1366521|2021-03-02	2021-03-02
hCoV-19/Slovenia/119824/2021|EPI_ISL_1366522|2021-03-06	2021-03-06
hCoV-19/England/CAMC-13FBE44/2021|EPI_ISL_1374130|2021-03-17	2021-03-17
hCoV-19/Spain/PV-HUB-59042602/2021|EPI_ISL_1382117|2021-03-13	2021-03-13
hCoV-19/Belgium/rega-4678/2021|EPI_ISL_1382598|2021-03-05	2021-03-05
hCoV-19/Belgium/rega-4679/2021|EPI_ISL_1382599|2021-03-05	2021-03-05
hCoV-19/USA/NY-PRL-2021_03_25_00F10/2021|EPI_ISL_1385646|2021-03-24	2021-03-24
hCoV-19/Italy/PA-IZSBM966-66/2021|EPI_ISL_1386131|2021-03-18	2021-03-18
hCoV-19/Switzerland/BS-UHB-42679668/2021|EPI_ISL_1388740|2021-02-04	2021-02-04
hCoV-19/Slovenia/22-2578/2021|EPI_ISL_1401993|2021-02-24	2021-02-24
hCoV-19/Turkey/HSGM-8429/2021|EPI_ISL_1403726|2021-03-03	2021-03-03
hCoV-19/USA/WA-UW-66082/2021|EPI_ISL_1405164|2021-03-05	2021-03-05
hCoV-19/USA/WV-WVU-WV090251/2021|EPI_ISL_1423325|2021-01-11	2021-01-11
hCoV-19/USA/WV-WVU-WV090252/2021|EPI_ISL_1423326|2021-03-15	2021-03-15
hCoV-19/USA/WV-WVU-WV090263/2021|EPI_ISL_1423335|2021-03-15	2021-03-15
hCoV-19/Germany/RP-RKI-I-051003/2021|EPI_ISL_1433543|2021-03-10	2021-03-10
hCoV-19/Germany/RP-RKI-I-051014/2021|EPI_ISL_1433565|2021-03-16	2021-03-16
hCoV-19/France/PDL-IPP06069/2021|EPI_ISL_1443874|2021-03-16	2021-03-16
hCoV-19/Netherlands/GE-RIVM-20089/2021|EPI_ISL_1457550|2021-03-03	2021-03-03
hCoV-19/Netherlands/NB-RIVM-20229/2021|EPI_ISL_1457551|2021-02-27	2021-02-27
hCoV-19/Netherlands/LI-RIVM-20507/2021|EPI_ISL_1457552|2021-03-10	2021-03-10
hCoV-19/Netherlands/GE-RIVM-20746/2021|EPI_ISL_1457553|2021-03-14	2021-03-14
hCoV-19/Netherlands/GE-RIVM-20432/2021|EPI_ISL_1457574|2021-02-09	2021-02-09
hCoV-19/Netherlands/GE-RIVM-20443/2021|EPI_ISL_1457575|2021-02-09	2021-02-09
hCoV-19/Netherlands/GE-RIVM-20454/2021|EPI_ISL_1457576|2021-02-17	2021-02-17
hCoV-19/Netherlands/GE-RIVM-20466/2021|EPI_ISL_1457577|2021-03-09	2021-03-09
hCoV-19/Belgium/AZDelta-01457-2112R/2021|EPI_ISL_1469122|2021-03-23	2021-03-23
hCoV-19/Belgium/AZDelta-11804-2112R/2021|EPI_ISL_1469145|2021-03-23	2021-03-23
hCoV-19/USA/NY-PRL-2021_04_01_00F18/2021|EPI_ISL_1471863|2021-03-29	2021-03-29
hCoV-19/Italy/TAA-IGA-1900533091/2021|EPI_ISL_1523616|2021-03-11	2021-03-11
hCoV-19/Italy/TAA-IGA-1900533822/2021|EPI_ISL_1523627|2021-03-12	2021-03-12
hCoV-19/USA/WV-WVU-WV090487/2021|EPI_ISL_1528749|2021-03-22	2021-03-22
hCoV-19/USA/OR-OHSU-10601/2021|EPI_ISL_1541796|2021-03-08	2021-03-08
hCoV-19/Norway/6840/2021|EPI_ISL_1547633|2021-03-15	2021-03-15
hCoV-19/Norway/6845/2021|EPI_ISL_1547635|2021-03-15	2021-03-15
hCoV-19/Norway/6847/2021|EPI_ISL_1547637|2021-03-16	2021-03-16
hCoV-19/Norway/6939/2021|EPI_ISL_1547651|2021-03-17	2021-03-17
hCoV-19/Germany/NW-RKI-I-059362/2021|EPI_ISL_1563929|2021-03-25	2021-03-25
hCoV-19/Germany/un-RKI-I-061773/2021|EPI_ISL_1567223|2021-03-30	2021-03-30
hCoV-19/Germany/RP-RKI-I-062270/2021|EPI_ISL_1567684|2021-03-20	2021-03-20
hCoV-19/Germany/NW-RKI-I-066162/2021|EPI_ISL_1571188|2021-03-29	2021-03-29
hCoV-19/Scotland/EDB17472/2021|EPI_ISL_1636702|2021-03-26	2021-03-26
hCoV-19/Germany/BE-RKI-I-078629/2021|EPI_ISL_1643861|2021-04-09	2021-04-09
hCoV-19/Germany/BE-RKI-I-078637/2021|EPI_ISL_1643867|2021-04-10	2021-04-10
hCoV-19/Spain/CT-HUVH-EX01484/2021|EPI_ISL_1669441|2021-04-13	2021-04-13
hCoV-19/Italy/TAA-1900557068/2021|EPI_ISL_1672812|2021-04-06	2021-04-06
hCoV-19/USA/IL-CDC-LC0033324/2021|EPI_ISL_1695013|2021-03-21	2021-03-21
hCoV-19/USA/MD-CDC-LC0037600/2021|EPI_ISL_1695028|2021-03-31	2021-03-31
hCoV-19/USA/VA-CDC-LC0038785/2021|EPI_ISL_1695029|2021-03-29	2021-03-29
hCoV-19/USA/PA-CDC-2-4084532/2021|EPI_ISL_1695917|2021-03-11	2021-03-11
hCoV-19/Singapore/621/2021|EPI_ISL_1704843|2021-04-16	2021-04-16
hCoV-19/Singapore/622/2021|EPI_ISL_1704844|2021-04-16	2021-04-16
hCoV-19/Germany/un-RKI-I-085486/2021|EPI_ISL_1722672|2021-03-29	2021-03-29
hCoV-19/Germany/RP-RKI-I-087811/2021|EPI_ISL_1724422|2021-04-05	2021-04-05
hCoV-19/Germany/RP-RKI-I-087829/2021|EPI_ISL_1724436|2021-04-03	2021-04-03
hCoV-19/Germany/BE-RKI-I-089980/2021|EPI_ISL_1725248|2021-04-08	2021-04-08
hCoV-19/Germany/RP-RKI-I-090000/2021|EPI_ISL_1725261|2021-04-09	2021-04-09
hCoV-19/Germany/NW-RKI-I-092498/2021|EPI_ISL_1727004|2021-04-14	2021-04-14
hCoV-19/Italy/TAA-IGA-1900562412/2021|EPI_ISL_1745303|2021-04-12	2021-04-12
hCoV-19/Italy/TAA-IGA-1900562420/2021|EPI_ISL_1745306|2021-04-12	2021-04-12
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-10189/2021|EPI_ISL_1759578|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-2021041354841/2021|EPI_ISL_1785840|2021-04-13	2021-04-13
hCoV-19/USA/WA-UW-2021041379697/2021|EPI_ISL_1785841|2021-04-13	2021-04-13
hCoV-19/Norway/7236/2021|EPI_ISL_1797760|2021-03-17	2021-03-17
hCoV-19/Norway/7331/2021|EPI_ISL_1797781|2021-03-20	2021-03-20
hCoV-19/Norway/7781/2021|EPI_ISL_1797793|2021-03-21	2021-03-21
hCoV-19/USA/WA-UW-2021041202567/2021|EPI_ISL_1826134|2021-04-12	2021-04-12
hCoV-19/USA/WA-UW-2021041504901/2021|EPI_ISL_1826136|2021-04-15	2021-04-15
hCoV-19/Spain/CT-HUGTiPR014JJ2B11/2021|EPI_ISL_1831596|2021-04-18	2021-04-18
hCoV-19/Germany/BE-RKI-I-104255/2021|EPI_ISL_1848783|2021-04-23	2021-04-23
hCoV-19/Portugal/PT6916/2021|EPI_ISL_1854254|2021-04-16	2021-04-16
hCoV-19/Italy/LAZ-AMC-210107948-DS/2021|EPI_ISL_1855102|2021-01-07	2021-01-07
hCoV-19/Denmark/DCGC-51018/2021|EPI_ISL_1858600|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-51295/2021|EPI_ISL_1859083|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-52018/2021|EPI_ISL_1860050|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-53276/2021|EPI_ISL_1861330|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-53321/2021|EPI_ISL_1861375|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-54226/2021|EPI_ISL_1862654|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-55962/2021|EPI_ISL_1864401|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-56836/2021|EPI_ISL_1865336|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-57243/2021|EPI_ISL_1865743|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-57251/2021|EPI_ISL_1865751|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-57273/2021|EPI_ISL_1865773|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-58140/2021|EPI_ISL_1866643|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-58154/2021|EPI_ISL_1866657|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-58164/2021|EPI_ISL_1866667|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-59377/2021|EPI_ISL_1867948|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-59414/2021|EPI_ISL_1867985|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-60234/2021|EPI_ISL_1868805|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-60691/2021|EPI_ISL_1869262|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-61713/2021|EPI_ISL_1870284|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-62151/2021|EPI_ISL_1870722|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-66074/2021|EPI_ISL_1874645|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-66947/2021|EPI_ISL_1875518|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-67420/2021|EPI_ISL_1875991|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-68294/2021|EPI_ISL_1876865|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-70467/2021|EPI_ISL_1879038|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-71346/2021|EPI_ISL_1879917|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-71413/2021|EPI_ISL_1879984|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-72800/2021|EPI_ISL_1881371|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-72828/2021|EPI_ISL_1881399|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-73231/2021|EPI_ISL_1881802|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-73243/2021|EPI_ISL_1881814|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-73633/2021|EPI_ISL_1882204|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-74591/2021|EPI_ISL_1883162|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-74623/2021|EPI_ISL_1883194|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-74959/2021|EPI_ISL_1883530|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-74986/2021|EPI_ISL_1883557|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-75866/2021|EPI_ISL_1884437|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-75921/2021|EPI_ISL_1884492|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-76745/2021|EPI_ISL_1885316|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-76824/2021|EPI_ISL_1885395|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-77961/2021|EPI_ISL_1886602|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-78480/2021|EPI_ISL_1887121|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-78947/2021|EPI_ISL_1887588|2021-01-25	2021-01-25
hCoV-19/Denmark/DCGC-79328/2021|EPI_ISL_1887969|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-81087/2021|EPI_ISL_1889729|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-81094/2021|EPI_ISL_1889736|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-82089/2021|EPI_ISL_1890755|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-83481/2021|EPI_ISL_1892499|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-83816/2021|EPI_ISL_1892912|2021-03-01	2021-03-01
hCoV-19/Spain/CT-HUGTiPM013OD1D9/2021|EPI_ISL_1892959|2021-04-16	2021-04-16
hCoV-19/Denmark/DCGC-84554/2021|EPI_ISL_1893842|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-85793/2021|EPI_ISL_1895113|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-85840/2021|EPI_ISL_1895161|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-86653/2021|EPI_ISL_1896003|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-86701/2021|EPI_ISL_1896059|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-87080/2021|EPI_ISL_1896439|2021-02-22	2021-02-22
hCoV-19/Sweden/16290494P/2021|EPI_ISL_1899146|2021-04-07	2021-04-07
hCoV-19/Turkey/HSGM-11297/2021|EPI_ISL_1911784|2021-03-10	2021-03-10
hCoV-19/Turkey/HSGM-11304/2021|EPI_ISL_1911785|2021-03-10	2021-03-10
hCoV-19/Italy/TAA-IGA-1900555264/2021|EPI_ISL_1941525|2021-04-04	2021-04-04
hCoV-19/Netherlands/NH-RIVM-28096/2021|EPI_ISL_1962937|2021-04-18	2021-04-18
hCoV-19/Netherlands/ZH-RIVM-28639/2021|EPI_ISL_1962938|2021-04-20	2021-04-20
hCoV-19/Netherlands/GE-RIVM-29071/2021|EPI_ISL_1962939|2021-04-20	2021-04-20
hCoV-19/Switzerland/GE-HUG-33950566/2021|EPI_ISL_1963287|2021-04-22	2021-04-22
hCoV-19/Switzerland/GE-HUG-33987945/2021|EPI_ISL_1963288|2021-04-19	2021-04-19
hCoV-19/Switzerland/GE-HUG-34009015/2021|EPI_ISL_1963289|2021-04-28	2021-04-28
hCoV-19/Switzerland/VD-HUG-33985161/2021|EPI_ISL_1963290|2021-04-26	2021-04-26
hCoV-19/Nigeria/CV1136/2021|EPI_ISL_1970551|2021-02-19	2021-02-19
hCoV-19/Nigeria/CV1111/2021|EPI_ISL_1970560|2021-02-22	2021-02-22
hCoV-19/Nigeria/CV1121/2021|EPI_ISL_1970561|2021-02-17	2021-02-17
hCoV-19/Nigeria/CV1126/2021|EPI_ISL_1970562|2021-02-16	2021-02-16
hCoV-19/Nigeria/CV1129/2021|EPI_ISL_1970563|2021-02-20	2021-02-20
hCoV-19/Germany/BE-ChVir-LB-210401-8335/2021|EPI_ISL_1972193|2021-03-24	2021-03-24
hCoV-19/Germany/BE-ChVir-LB-210326-4418/2021|EPI_ISL_1982536|2021-03-20	2021-03-20
hCoV-19/Germany/BE-ChVir-LB-210326-4449/2021|EPI_ISL_1982566|2021-03-22	2021-03-22
hCoV-19/Norway/09286/2021|EPI_ISL_2001524|2021-04-06	2021-04-06
hCoV-19/Norway/09289/2021|EPI_ISL_2001527|2021-04-06	2021-04-06
hCoV-19/Belarus/RRPCEM_VIS_874/2021|EPI_ISL_2032231|2021-03-22	2021-03-22
hCoV-19/USA/WA-UW-21042243796/2021|EPI_ISL_2037519|2021-04-22	2021-04-22
hCoV-19/USA/WA-UW-21042239613/2021|EPI_ISL_2037520|2021-04-22	2021-04-22
hCoV-19/Italy/TAA-IGA-1900577805/2021|EPI_ISL_2080312|2021-04-29	2021-04-29
hCoV-19/Italy/TAA-IGA-1900571836/2021|EPI_ISL_2080346|2021-05-01	2021-05-01
hCoV-19/Italy/TAA-IGA-1900571794/2021|EPI_ISL_2080348|2021-05-01	2021-05-01
hCoV-19/Switzerland/GE-HUG-34058512/2021|EPI_ISL_2104621|2021-05-03	2021-05-03
hCoV-19/USA/NY-PRL-0510_01B10/2021|EPI_ISL_2106358|2021-05-07	2021-05-07
hCoV-19/Germany/NW-RKI-I-137911/2021|EPI_ISL_2122436|2021-05-03	2021-05-03
hCoV-19/Germany/BE-RKI-I-141330/2021|EPI_ISL_2125050|2021-05-06	2021-05-06
hCoV-19/Germany/RP-RKI-I-141398/2021|EPI_ISL_2125094|2021-05-04	2021-05-04
hCoV-19/Germany/RP-RKI-I-141421/2021|EPI_ISL_2125110|2021-05-05	2021-05-05
hCoV-19/Germany/un-RKI-I-141428/2021|EPI_ISL_2125114|2021-05-05	2021-05-05
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-11639/2021|EPI_ISL_2137592|2021-04-27	2021-04-27
hCoV-19/Spain/PV-HUB-51590893/2021|EPI_ISL_2151335|2021-04-16	2021-04-16
hCoV-19/Togo/NMIMR-TG-TGS-060-21/2021|EPI_ISL_2151344|2021-02-25	2021-02-25
hCoV-19/Philippines/PH-PGC-06260/2021|EPI_ISL_2156201|2021-02-11	2021-02-11
hCoV-19/India/TG-CCMB-MMG2021a006693/2021|EPI_ISL_2157166|2021-05-03	2021-05-03
hCoV-19/Turkey/HSGM-11486/2021|EPI_ISL_2157977|2021-03-11	2021-03-11
hCoV-19/Turkey/HSGM-11498/2021|EPI_ISL_2157979|2021-03-11	2021-03-11
hCoV-19/Spain/PV-HUB-52238948/2021|EPI_ISL_2164238|2021-04-28	2021-04-28
hCoV-19/Canada/AB-ABPHL-05291/2021|EPI_ISL_2164733|2021-02-12	2021-02-12
hCoV-19/Canada/AB-ABPHL-05782/2021|EPI_ISL_2165145|2021-02-21	2021-02-21
hCoV-19/Canada/AB-ABPHL-05786/2021|EPI_ISL_2165149|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05788/2021|EPI_ISL_2165151|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05792/2021|EPI_ISL_2165154|2021-02-23	2021-02-23
hCoV-19/Canada/AB-ABPHL-05793/2021|EPI_ISL_2165155|2021-02-23	2021-02-23
hCoV-19/Canada/ABPHL-07894/2021|EPI_ISL_2166407|2021-03-04	2021-03-04
hCoV-19/Canada/ABPHL-07898/2021|EPI_ISL_2166411|2021-03-04	2021-03-04
hCoV-19/Canada/ABPHL-07902/2021|EPI_ISL_2166415|2021-03-05	2021-03-05
hCoV-19/Canada/ABPHL-07907/2021|EPI_ISL_2166419|2021-03-04	2021-03-04
hCoV-19/Canada/ABPHL-07934/2021|EPI_ISL_2166444|2021-03-05	2021-03-05
hCoV-19/Canada/ABPHL-07938/2021|EPI_ISL_2166448|2021-03-05	2021-03-05
hCoV-19/Canada/ABPHL-07939/2021|EPI_ISL_2166449|2021-03-06	2021-03-06
hCoV-19/Canada/ABPHL-10832/2021|EPI_ISL_2168625|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10833/2021|EPI_ISL_2168626|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10835/2021|EPI_ISL_2168628|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10837/2021|EPI_ISL_2168630|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10839/2021|EPI_ISL_2168632|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10843/2021|EPI_ISL_2168636|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10844/2021|EPI_ISL_2168637|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10847/2021|EPI_ISL_2168640|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10850/2021|EPI_ISL_2168643|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10853/2021|EPI_ISL_2168646|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10854/2021|EPI_ISL_2168647|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10855/2021|EPI_ISL_2168648|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10856/2021|EPI_ISL_2168649|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10864/2021|EPI_ISL_2168656|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10867/2021|EPI_ISL_2168659|2021-03-22	2021-03-22
hCoV-19/Canada/ABPHL-10868/2021|EPI_ISL_2168660|2021-03-22	2021-03-22
hCoV-19/Canada/ABPHL-10869/2021|EPI_ISL_2168661|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-11885/2021|EPI_ISL_2169505|2021-04-03	2021-04-03
hCoV-19/Canada/ABPHL-11895/2021|EPI_ISL_2169515|2021-04-04	2021-04-04
hCoV-19/Canada/ABPHL-11899/2021|EPI_ISL_2169519|2021-04-04	2021-04-04
hCoV-19/Canada/ABPHL-12386/2021|EPI_ISL_2169911|2021-04-06	2021-04-06
hCoV-19/Spain/MD-HGUGM-656890/2021|EPI_ISL_2178832|2021-05-11	2021-05-11
hCoV-19/USA/WV-WVU-WV119542/2021|EPI_ISL_2204431|2021-04-29	2021-04-29
hCoV-19/USA/WV-WVU-WV119593/2021|EPI_ISL_2204438|2021-04-30	2021-04-30
hCoV-19/USA/WV-WVU-WV119560/2021|EPI_ISL_2204472|2021-05-01	2021-05-01
hCoV-19/USA/WV-WVU-WV119550/2021|EPI_ISL_2204478|2021-05-01	2021-05-01
hCoV-19/USA/WV-WVU-WV119581/2021|EPI_ISL_2204489|2021-05-02	2021-05-02
hCoV-19/USA/WV-WVU-WV119693/2021|EPI_ISL_2204735|2021-05-05	2021-05-05
hCoV-19/USA/WV-WVU-WV119903/2021|EPI_ISL_2204748|2021-05-06	2021-05-06
hCoV-19/USA/WV-WVU-WV119892/2021|EPI_ISL_2204756|2021-05-06	2021-05-06
hCoV-19/USA/WV-WVU-WV119899/2021|EPI_ISL_2204776|2021-05-07	2021-05-07
hCoV-19/India/AP-CCMB-CIA0843/2021|EPI_ISL_2231620|2021-03-05	2021-03-05
hCoV-19/Italy/UMB-IZSGC-267459.1.23/2021|EPI_ISL_2235459|2021-05-11	2021-05-11
hCoV-19/England/ALDP-1591B1A/2021|EPI_ISL_2236335|2021-05-14	2021-05-14
hCoV-19/Ireland/D-NVRL-21IRL58267/2021|EPI_ISL_2240830|2021-05-04	2021-05-04
hCoV-19/Germany/NI-RKI-I-149333/2021|EPI_ISL_2261021|2021-05-08	2021-05-08
hCoV-19/Germany/NI-RKI-I-149336/2021|EPI_ISL_2261024|2021-05-07	2021-05-07
hCoV-19/Spain/CT-HUVH-23956/2021|EPI_ISL_954180|2021-01-25	2021-01-25
hCoV-19/Denmark/DCGC-41622/2021|EPI_ISL_973299|2021-01-25	2021-01-25
hCoV-19/Singapore/188/2021|EPI_ISL_995301|2021-01-31	2021-01-31
hCoV-19/Denmark/DCGC-43377/2021|EPI_ISL_1023711|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44132/2021|EPI_ISL_1024510|2021-02-01	2021-02-01
hCoV-19/USA/WA-UW-60363/2021|EPI_ISL_1110052|2021-02-02	2021-02-02
hCoV-19/USA/WA-UW-60949/2021|EPI_ISL_1110053|2021-02-03	2021-02-03
hCoV-19/Denmark/DCGC-48577/2021|EPI_ISL_1124693|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48761/2021|EPI_ISL_1125107|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-48807/2021|EPI_ISL_1125153|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49200/2021|EPI_ISL_1125590|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49580/2021|EPI_ISL_1125971|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50072/2021|EPI_ISL_1126463|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50073/2021|EPI_ISL_1126464|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50431/2021|EPI_ISL_1126822|2021-02-15	2021-02-15
hCoV-19/Nigeria/CV836/2021|EPI_ISL_1173233|2021-01-26	2021-01-26
hCoV-19/Nigeria/CV838/2021|EPI_ISL_1173235|2021-01-27	2021-01-27
hCoV-19/Nigeria/CV839/2021|EPI_ISL_1173236|2021-01-27	2021-01-27
hCoV-19/Germany/NW-RKI-I-028478/2021|EPI_ISL_1211509|2021-02-25	2021-02-25
hCoV-19/Turkey/HSGM-6543/2021|EPI_ISL_1272102|2021-02-26	2021-02-26
hCoV-19/Germany/BW-RKI-I-039016/2021|EPI_ISL_1285377|2021-03-03	2021-03-03
hCoV-19/Germany/BW-RKI-I-039022/2021|EPI_ISL_1285383|2021-02-10	2021-02-10
hCoV-19/Norway/3898/2021|EPI_ISL_1314407|2021-01-27	2021-01-27
hCoV-19/Norway/5591/2021|EPI_ISL_1314414|2021-03-07	2021-03-07
hCoV-19/Norway/5593/2021|EPI_ISL_1314416|2021-03-07	2021-03-07
hCoV-19/Norway/5675/2021|EPI_ISL_1314457|2021-03-07	2021-03-07
hCoV-19/England/QEUH-13C7D53/2021|EPI_ISL_1331389|2021-03-10	2021-03-10
hCoV-19/Germany/BY-RKI-I-044531/2021|EPI_ISL_1351877|2021-03-11	2021-03-11
hCoV-19/Belgium/rega-4311/2021|EPI_ISL_1380751|2021-03-06	2021-03-06
hCoV-19/Slovenia/22-2876/2021|EPI_ISL_1402026|2021-03-01	2021-03-01
hCoV-19/Slovenia/22-3052/2021|EPI_ISL_1402052|2021-03-03	2021-03-03
hCoV-19/Slovenia/21-4699/2021|EPI_ISL_1402077|2021-03-01	2021-03-01
hCoV-19/USA/WA-UW-66103/2021|EPI_ISL_1405184|2021-03-05	2021-03-05
hCoV-19/USA/MD-HP03056/2021|EPI_ISL_1405588|2021-03-04	2021-03-04
hCoV-19/Belgium/AZDelta-15581-2112R/2021|EPI_ISL_1469155|2021-03-23	2021-03-23
hCoV-19/Italy/TAA-1900542634/2021|EPI_ISL_1494680|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542754/2021|EPI_ISL_1494682|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542790/2021|EPI_ISL_1494683|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542795/2021|EPI_ISL_1494684|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542796/2021|EPI_ISL_1494685|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542810/2021|EPI_ISL_1494686|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542820/2021|EPI_ISL_1494687|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900542830/2021|EPI_ISL_1494688|2021-03-22	2021-03-22
hCoV-19/Italy/TAA-1900543287/2021|EPI_ISL_1494696|2021-03-22	2021-03-22
hCoV-19/Italy/LAZ-INMI-398/2021|EPI_ISL_1495999|2021-03-22	2021-03-22
hCoV-19/Togo/C6365/2021|EPI_ISL_1508896|2021-02-04	2021-02-04
hCoV-19/Togo/C6366/2021|EPI_ISL_1508897|2021-02-04	2021-02-04
hCoV-19/USA/ME-HETL-J2373/2021|EPI_ISL_1523698|2021-03-19	2021-03-19
hCoV-19/Belgium/AZDelta/13862-2113R/2021|EPI_ISL_1534725|2021-04-02	2021-04-02
